对话编号,对话内容
100000000,我这已经没有你能领取的充值货币了!<#SO:1>我只是来看看的<#SO/>
679601100,提升神魔属性!强化自身神魔属性也是有失败的机率!<#SO:1>我要升级嗜血<#SO/><#SO:2>我要升级其它<#SO/>
679601200,提升神魔属性!强化自身神魔属性也是有失败的机率!<#SO:1>我要升级穿杨<#SO/><#SO:2>我要升级其它<#SO/>
679601300,提升神魔属性!强化自身神魔属性也是有失败的机率!<#SO:1>我要升级强化<#SO/><#SO:2>我要升级其它<#SO/>
679601400,提升神魔属性!强化自身神魔属性也是有失败的机率!<#SO:1>我要升级精准<#SO/><#SO:2>我要升级其它<#SO/>
679601500,提升神魔属性!强化自身神魔属性也是有失败的机率!<#SO:1>我要升级强身<#SO/><#SO:2>我要升级其它<#SO/>
679601600,查看神魔属性等级!!<#SO:1>我要查看属性<#SO/><#SO:2>我要升级属性<#SO/>
643401000,勇士，需要开启玛法豪杰/战将/至尊特权，方可签到领奖。<br>今天签到可以获得的奖励是：[ `~ ]<br>明天签到可以获得的奖励是：[ `~ ]<br>友情提示：每天可以领取到奖励（共42天）已签到[ `~ ]天<#SO:1>传永武技签到<#SO/><#SO:99999>我只是来看看<#SO/>
651503001,入围玩家1-3：`~<br>入围玩家4-6：`~<br>入围玩家7-9：`~<br>入围玩家10-12：`~<#SO:1>淘汰赛排名<#SO/><#SO:2>返回首页<#SO/>
651503002,淘汰玩家1-3：`~<br>淘汰玩家4-6：`~<br>淘汰玩家7-9：`~<br>淘汰玩家10-12：`~<#SO:1>入围赛排名<#SO/><#SO:2>返回首页<#SO/>
