声望编号,标题,声望最大值,战士物品编号1,战士物品数量1,战士绑定物品1,战士物品编号2,战士物品数量2,战士绑定物品2,战士物品编号3,战士物品数量3,战士绑定物品3,战士物品编号4,战士物品数量4,战士绑定物品4,战士物品编号5,战士物品数量5,战士绑定物品5,战士物品编号6,战士物品数量6,战士绑定物品6,战士物品编号7,战士物品数量7,战士绑定物品7,战士物品编号8,战士物品数量8,战士绑定物品8,法师物品编号1,法师物品数量1,法师绑定物品1,法师物品编号2,法师物品数量2,法师绑定物品2,法师物品编号3,法师物品数量3,法师绑定物品3,法师物品编号4,法师物品数量4,法师绑定物品4,法师物品编号5,法师物品数量5,法师绑定物品5,法师物品编号6,法师物品数量6,法师绑定物品6,法师物品编号7,法师物品数量7,法师绑定物品7,法师物品编号8,法师物品数量8,法师绑定物品8,刺客物品编号1,刺客物品数量1,刺客绑定物品1,刺客物品编号2,刺客物品数量2,刺客绑定物品2,刺客物品编号3,刺客物品数量3,刺客绑定物品3,刺客物品编号4,刺客物品数量4,刺客绑定物品4,刺客物品编号5,刺客物品数量5,刺客绑定物品5,刺客物品编号6,刺客物品数量6,刺客绑定物品6,刺客物品编号7,刺客物品数量7,刺客绑定物品7,刺客物品编号8,刺客物品数量8,刺客绑定物品8,弓手物品编号1,弓手物品数量1,弓手绑定物品1,弓手物品编号2,弓手物品数量2,弓手绑定物品2,弓手物品编号3,弓手物品数量3,弓手绑定物品3,弓手物品编号4,弓手物品数量4,弓手绑定物品4,弓手物品编号5,弓手物品数量5,弓手绑定物品5,弓手物品编号6,弓手物品数量6,弓手绑定物品6,弓手物品编号7,弓手物品数量7,弓手绑定物品7,弓手物品编号8,弓手物品数量8,弓手绑定物品8,道士物品编号1,道士物品数量1,道士绑定物品1,道士物品编号2,道士物品数量2,道士绑定物品2,道士物品编号3,道士物品数量3,道士绑定物品3,道士物品编号4,道士物品数量4,道士绑定物品4,道士物品编号5,道士物品数量5,道士绑定物品5,道士物品编号6,道士物品数量6,道士绑定物品6,道士物品编号7,道士物品数量7,道士绑定物品7,道士物品编号8,道士物品数量8,道士绑定物品8,龙枪物品编号1,龙枪物品数量1,龙枪绑定物品1,龙枪物品编号2,龙枪物品数量2,龙枪绑定物品2,龙枪物品编号3,龙枪物品数量3,龙枪绑定物品3,龙枪物品编号4,龙枪物品数量4,龙枪绑定物品4,龙枪物品编号5,龙枪物品数量5,龙枪绑定物品5,龙枪物品编号6,龙枪物品数量6,龙枪绑定物品6,龙枪物品编号7,龙枪物品数量7,龙枪绑定物品7,龙枪物品编号8,龙枪物品数量8,龙枪绑定物品8
21,岛现妖踪,2001,388,1,FALSE,388,1,FALSE,1370014,1,FALSE,1370114,1,FALSE,80105,1,FALSE,99999100,1,FALSE,0,0,FALSE,0,0,FALSE,412,1,FALSE,412,1,FALSE,1370014,1,FALSE,1370114,1,FALSE,80105,1,FALSE,99999102,1,FALSE,0,0,FALSE,0,0,FALSE,412,1,FALSE,412,1,FALSE,1370014,1,FALSE,1370114,1,FALSE,80105,1,FALSE,99999106,1,FALSE,0,0,FALSE,0,0,FALSE,412,1,FALSE,412,1,FALSE,1370014,1,FALSE,1370114,1,FALSE,80105,1,FALSE,99999108,1,FALSE,0,0,FALSE,0,0,FALSE,412,1,FALSE,412,1,FALSE,1370014,1,FALSE,1370114,1,FALSE,80105,1,FALSE,99999104,1,FALSE,0,0,FALSE,0,0,FALSE,412,1,FALSE,412,1,FALSE,1370014,1,FALSE,1370114,1,FALSE,80105,1,FALSE,99999110,1,FALSE,0,0,FALSE,0,0,FALSE
23,踏雪屠龙,5001,388,1,FALSE,388,1,FALSE,1370013,1,FALSE,1370113,1,FALSE,69900016,1,FALSE,99999100,1,FALSE,0,0,FALSE,0,0,FALSE,388,1,FALSE,388,1,FALSE,1370013,1,FALSE,1370113,1,FALSE,69900016,1,FALSE,99999102,1,FALSE,0,0,FALSE,0,0,FALSE,388,1,FALSE,388,1,FALSE,1370013,1,FALSE,1370113,1,FALSE,69900016,1,FALSE,99999106,1,FALSE,0,0,FALSE,0,0,FALSE,388,1,FALSE,388,1,FALSE,1370013,1,FALSE,1370113,1,FALSE,69900016,1,FALSE,99999108,1,FALSE,0,0,FALSE,0,0,FALSE,388,1,FALSE,388,1,FALSE,1370013,1,FALSE,1370113,1,FALSE,69900016,1,FALSE,99999104,1,FALSE,0,0,FALSE,0,0,FALSE,388,1,FALSE,388,1,FALSE,1370013,1,FALSE,1370113,1,FALSE,69900016,1,FALSE,99999110,1,FALSE,0,0,FALSE,0,0,FALSE
25,白日围城,2001,382,1,FALSE,382,1,FALSE,1370012,1,FALSE,1370112,1,FALSE,80105,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370012,1,FALSE,1370112,1,FALSE,80105,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370012,1,FALSE,1370112,1,FALSE,80105,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370012,1,FALSE,1370112,1,FALSE,80105,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370012,1,FALSE,1370112,1,FALSE,80105,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370012,1,FALSE,1370112,1,FALSE,80105,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE
30,龙卫之乡,251,361,1,FALSE,371,1,FALSE,1370001,1,FALSE,1370201,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,361,1,FALSE,371,1,FALSE,1370001,1,FALSE,1370201,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,361,1,FALSE,371,1,FALSE,1370001,1,FALSE,1370201,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,361,1,FALSE,371,1,FALSE,1370001,1,FALSE,1370201,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,361,1,FALSE,371,1,FALSE,1370001,1,FALSE,1370201,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE,361,1,FALSE,371,1,FALSE,1370001,1,FALSE,1370201,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,0,0,FALSE
33,巨木之森,501,362,1,FALSE,372,1,FALSE,1370002,1,FALSE,1370202,1,FALSE,80001,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370002,1,FALSE,1370202,1,FALSE,80001,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370002,1,FALSE,1370202,1,FALSE,80001,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370002,1,FALSE,1370202,1,FALSE,80001,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370002,1,FALSE,1370202,1,FALSE,80001,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370002,1,FALSE,1370202,1,FALSE,80001,1,FALSE,80001,1,FALSE,0,0,FALSE,0,0,FALSE
36,英雄土城,501,362,1,FALSE,372,1,FALSE,1370003,1,FALSE,1370203,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370003,1,FALSE,1370203,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370003,1,FALSE,1370203,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370003,1,FALSE,1370203,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370003,1,FALSE,1370203,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,362,1,FALSE,372,1,FALSE,1370003,1,FALSE,1370203,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE
39,昔日龙脉,1001,363,1,FALSE,373,1,FALSE,1370004,1,FALSE,1370204,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370004,1,FALSE,1370204,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370004,1,FALSE,1370204,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370004,1,FALSE,1370204,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370004,1,FALSE,1370204,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370004,1,FALSE,1370204,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,0,0,FALSE
40,沃玛珍宝,1501,363,1,FALSE,373,1,FALSE,1370005,1,FALSE,1370205,1,FALSE,69900006,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370005,1,FALSE,1370205,1,FALSE,69900006,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370005,1,FALSE,1370205,1,FALSE,69900006,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370005,1,FALSE,1370205,1,FALSE,69900006,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370005,1,FALSE,1370205,1,FALSE,69900006,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,363,1,FALSE,373,1,FALSE,1370005,1,FALSE,1370205,1,FALSE,69900006,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE
41,猪妖秘宝,2001,382,1,FALSE,382,1,FALSE,1370007,1,FALSE,1370207,1,FALSE,69900008,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370007,1,FALSE,1370207,1,FALSE,69900008,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370007,1,FALSE,1370207,1,FALSE,69900008,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370007,1,FALSE,1370207,1,FALSE,69900008,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370007,1,FALSE,1370207,1,FALSE,69900008,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,382,1,FALSE,382,1,FALSE,1370007,1,FALSE,1370207,1,FALSE,69900008,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE
42,毒虫迷宫,1501,381,1,FALSE,381,1,FALSE,1370006,1,FALSE,1370206,1,FALSE,69900007,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,381,1,FALSE,381,1,FALSE,1370006,1,FALSE,1370206,1,FALSE,69900007,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,381,1,FALSE,381,1,FALSE,1370006,1,FALSE,1370206,1,FALSE,69900007,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,381,1,FALSE,381,1,FALSE,1370006,1,FALSE,1370206,1,FALSE,69900007,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,381,1,FALSE,381,1,FALSE,1370006,1,FALSE,1370206,1,FALSE,69900007,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE,381,1,FALSE,381,1,FALSE,1370006,1,FALSE,1370206,1,FALSE,69900007,1,FALSE,80007,1,FALSE,80007,1,FALSE,0,0,FALSE
